PG.ProteinGroups,Ratio_log2_50,Ratio_log2_150
Q86X02,7.90885425709292,NA
O43913,7.90120297821523,8.2923791819132
Q9H3K2,10.0088021854102,11.1174796324944
Q9BZJ0,9.10173606785556,NA
Q5T5C0,10.9940760136729,NA
Q02880,4.01533218891955,NA
O14818,2.66257083174382,4.04455674732466
Q9UBF8,6.49311745255105,NA
P07602,9.08251594267288,10.9802102200599
Q14155,2.97118479776349,NA
Q9H2V7,10.0858201186194,NA
P63000,11.2603265152325,NA
Q15048,3.97075343273253,NA
Q5TC82,12.9538451731039,12.6219575680513
O95502,18.3934261673627,NA
P07737,10.9082825107536,NA
Q9BSJ8,6.7890760403703,NA
O95568,2.29506081877991,NA
O95822,2.34236187838473,NA
Q9Y5V3,6.07966967109864,NA
P18669,1.93767607140099,2.78747449205462
Q9HCD6,4.64495438760261,NA
Q14103,5.9642454820515,NA
P52272,11.7193992568041,NA
Q15800,16.4380760947694,NA
O60488,10.542966717892,12.1984338070949
P20336,16.813694479533,18.3585036188021
Q24JP5,10.7422219046898,NA
Q96CX6,21.2572651938078,NA
P45983,16.2342932169178,18.5148706241887
Q9BY67,12.1873108400426,NA
P62993,NA,18.9043259803552
Q13185,NA,19.2433691850962
Q6IEE7,NA,14.942040541836
Q15771,NA,17.8225196537359
Q8N5K1,NA,16.771991020435
P49593,NA,7.3321556884504
P41208,NA,18.0732162371211
Q96M27,NA,18.30836329625
O00750,NA,17.7382588098345
Q8TDN6,NA,7.8951033606229
A6NE02,NA,1.61655714259515
Q96PV0,NA,6.55144681974503
P84085,NA,1.37541334694648
Q99523,NA,1.52660996066782
Q8N5N7,NA,10.5302147023766
Q9P121,NA,17.2485648959715
Q9Y6A4,NA,6.14878214915598
Q8IXM3,NA,16.2923112916093
Q92871,NA,18.8259225861941
Q86YD1,NA,4.27168581186077
P62253,NA,6.41436247872281
Q8NBJ4,NA,5.88901143841787
Q96HI0,NA,10.9476698330384
P61019,NA,16.9829291898308
Q99689,NA,18.53028265278
Q7Z739,NA,18.4637794649259
Q9NQC3,NA,3.0759332836333
Q9P0J1,NA,17.4933634636289
Q96F85,NA,3.12740399896385
Q6NUM9,NA,6.35210400753407
P07741,NA,5.63131093072947
Q9Y673,NA,11.3206813928656
Q16851,NA,6.25516324430673
P11021,NA,3.14086671695512
Q8WWH5,NA,4.74403970118798
Q2TBE0,NA,7.11950051759437
Q92784,NA,9.23916619479545
Q9GZN8,NA,15.6125874332001
A8MXV4,NA,4.90734695687249
Q6NTE8,NA,8.28759809728694
Q04695,NA,2.35366772255014
P07437,NA,2.08692369625234
Q96AC1,NA,6.53027373636053
O94875,NA,6.60165755386728
Q8IUC8,NA,4.07931673562366
Q9UIJ7,NA,4.45945383020358
Q99733,NA,2.70431899799116
Q96HE7,NA,6.83199486506545
Q8N163,NA,2.45129014166244
