PG.ProteinGroups,Ratio_log2
P62993,18.9043259803552
Q13185,19.2433691850962
Q6IEE7,14.942040541836
Q15771,17.8225196537359
P18669,2.78747449205462
Q9H3K2,11.1174796324944
Q8N5K1,16.771991020435
P49593,7.3321556884504
P41208,18.0732162371211
O43913,8.2923791819132
P45983,18.5148706241887
Q96M27,18.30836329625
O00750,17.7382588098345
Q8TDN6,7.8951033606229
A6NE02,1.61655714259515
Q96PV0,6.55144681974503
P84085,1.37541334694648
Q99523,1.52660996066782
Q8N5N7,10.5302147023766
P20336,18.3585036188021
Q9P121,17.2485648959715
Q9Y6A4,6.14878214915598
Q8IXM3,16.2923112916093
O60488,12.1984338070949
Q92871,18.8259225861941
Q86YD1,4.27168581186077
P62253,6.41436247872281
Q8NBJ4,5.88901143841787
Q96HI0,10.9476698330384
P61019,16.9829291898308
Q99689,18.53028265278
Q7Z739,18.4637794649259
Q9NQC3,3.0759332836333
Q9P0J1,17.4933634636289
O14818,4.04455674732466
Q96F85,3.12740399896385
Q6NUM9,6.35210400753407
P07741,5.63131093072947
Q9Y673,11.3206813928656
Q16851,6.25516324430673
P11021,3.14086671695512
Q8WWH5,4.74403970118798
P07602,10.9802102200599
Q2TBE0,7.11950051759437
Q92784,9.23916619479545
Q9GZN8,15.6125874332001
A8MXV4,4.90734695687249
Q6NTE8,8.28759809728694
Q04695,2.35366772255014
P07437,2.08692369625234
Q96AC1,6.53027373636053
Q5TC82,12.6219575680513
O94875,6.60165755386728
Q8IUC8,4.07931673562366
Q9UIJ7,4.45945383020358
Q99733,2.70431899799116
Q96HE7,6.83199486506545
Q8N163,2.45129014166244
